Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title,FareBin,prediction_label,prediction_score
3,male,34.5,0,0,7.8292,Q,1,1,Mr,Low,0,0.9437
3,female,47.0,1,0,7.0,S,2,0,Mrs,Low,0,0.5686
2,male,62.0,0,0,9.6875,Q,1,1,Mr,Medium,0,0.692
3,male,27.0,0,0,8.6625,S,1,1,Mr,Medium,0,0.9473
3,female,22.0,1,1,12.2875,S,3,0,Mrs,Medium,0,0.5405
3,male,14.0,0,0,9.225,S,1,1,Mr,Medium,0,0.9014
3,female,30.0,0,0,7.6292,Q,1,1,Miss,Low,0,0.6332
2,male,26.0,1,1,29.0,S,3,0,Mr,High,0,0.8641
3,female,18.0,0,0,7.2292,C,1,1,Mrs,Low,1,0.8093
3,male,21.0,2,0,24.15,S,3,0,Mr,High,0,0.9443
3,male,27.0,0,0,7.8958,S,1,1,Mr,Low,0,0.969
1,male,46.0,0,0,26.0,S,1,1,Mr,High,0,0.7868
1,female,23.0,1,0,82.2667,S,2,0,Mrs,VeryHigh,1,0.9718
2,male,63.0,1,0,26.0,S,2,0,Mr,High,0,0.7291
1,female,47.0,1,0,61.175,S,2,0,Mrs,VeryHigh,1,0.959
2,female,24.0,1,0,27.7208,C,2,0,Mrs,High,1,0.9321
2,male,35.0,0,0,12.35,Q,1,1,Mr,Medium,0,0.814
3,male,21.0,0,0,7.225,C,1,1,Mr,Low,0,0.9616
3,female,27.0,1,0,7.925,S,2,0,Miss,Medium,0,0.5045
3,female,45.0,0,0,7.225,C,1,1,Mrs,Low,1,0.5805
1,male,55.0,1,0,59.4,C,2,0,Mr,VeryHigh,1,0.5533
3,male,9.0,0,1,3.1708,S,2,0,Master,Low,1,0.7085
1,female,27.0,0,0,31.6833,S,1,1,Mrs,VeryHigh,1,0.9687
1,male,21.0,0,1,61.3792,C,2,0,Mr,VeryHigh,1,0.5034
1,female,48.0,1,3,262.375,C,5,0,Mrs,VeryHigh,1,0.9139
3,male,50.0,1,0,14.5,S,2,0,Mr,High,0,0.9553
1,female,22.0,0,1,61.9792,C,2,0,Miss,VeryHigh,1,0.9552
3,male,22.5,0,0,7.225,C,1,1,Mr,Low,0,0.9627
1,male,41.0,0,0,30.5,S,1,1,Mr,High,0,0.5996
3,male,27.0,2,0,21.6792,C,3,0,Mr,High,0,0.836
2,male,50.0,1,0,26.0,S,2,0,Mr,High,0,0.7283
2,male,24.0,2,0,31.5,S,3,0,Mr,VeryHigh,0,0.8163
3,female,33.0,1,2,20.575,S,4,0,Mrs,High,0,0.7278
3,female,27.0,1,2,23.45,S,4,0,Mrs,High,0,0.6758
1,male,30.0,1,0,57.75,C,2,0,Mr,VeryHigh,1,0.6365
3,male,18.5,0,0,7.2292,C,1,1,Mr,Low,0,0.9498
3,female,27.0,0,0,8.05,S,1,1,Miss,Medium,1,0.5072
3,female,21.0,0,0,8.6625,S,1,1,Miss,Medium,0,0.6397
3,male,25.0,0,0,9.5,S,1,1,Mr,Medium,0,0.9358
3,male,27.0,0,0,56.4958,S,1,1,Mr,VeryHigh,1,0.5063
3,male,39.0,0,1,13.4167,C,2,0,Mr,Medium,0,0.9176
1,male,27.0,0,0,26.55,S,1,1,Mr,High,1,0.6174
3,male,41.0,0,0,7.85,S,1,1,Mr,Low,0,0.9097
2,female,30.0,0,0,13.0,S,1,1,Mrs,Medium,1,0.9115
1,female,45.0,1,0,52.5542,S,2,0,Mrs,VeryHigh,1,0.9694
3,male,25.0,0,0,7.925,S,1,1,Mr,Medium,0,0.8111
1,male,45.0,0,0,29.7,C,1,1,Mr,High,0,0.7854
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
1,female,60.0,0,0,76.2917,C,1,1,Mrs,VeryHigh,1,0.9291
3,female,36.0,0,2,15.9,S,3,0,Mrs,High,0,0.5742
1,male,24.0,1,0,60.0,S,2,0,Mr,VeryHigh,1,0.5331
2,male,27.0,0,0,15.0333,C,1,1,Mr,High,0,0.8505
2,female,20.0,2,1,23.0,S,4,0,Miss,High,1,0.777
1,female,28.0,3,2,263.0,S,6,0,Miss,VeryHigh,1,0.8271
